,title,year,genre,runtime,mpa_rating,imdb_rating,imdb_gross,director,stars,tomato_meter,tom_aud_score,entity,id
1,Captain America,1944,"Action, Adventure, Sci-Fi",244,Approved,5.5,0,Elmer Clifton,"Elmer Clifton,Dick Purcell,Lorna Gray,Lionel Atwill,Charles Trowbridge",0,82,MARVEL,1
2,Howard the Duck,1986,"Action, Adventure, Comedy",110,PG,4.7,16300000,Willard Huyck,"Willard Huyck,Lea Thompson,Jeffrey Jones,Tim Robbins,Ed Gale",13,38,MARVEL,2
3,Blade,1998,"Action, Horror, Sci-Fi",120,R,7.1,70090000,Stephen Norrington,"Stephen Norrington,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright",55,78,MARVEL,3
4,X-Men,2000,"Action, Adventure, Sci-Fi",104,PG-13,7.4,157300000,Bryan Singer,"Bryan Singer,Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen",82,83,MARVEL,4
5,Blade II,2002,"Action, Fantasy, Horror",117,R,6.7,82350000,Guillermo del Toro,"Guillermo del Toro,Wesley Snipes,Kris Kristofferson,Ron Perlman,Leonor Varela",57,68,MARVEL,5
6,Spider-Man,2002,"Action, Adventure, Sci-Fi",121,PG-13,7.3,403710000,Sam Raimi,"Sam Raimi,Tobey Maguire,Kirsten Dunst,Willem Dafoe,James Franco",90,67,MARVEL,6
7,Daredevil,2003,"Action, Crime",103,PG-13,5.3,102540000,Mark Steven Johnson,"Mark Steven Johnson,Ben Affleck,Jennifer Garner,Colin Farrell,Michael Clarke Duncan",44,35,MARVEL,7
8,X2: X-Men United,2003,"Action, Sci-Fi, Thriller",134,PG-13,7.4,214950000,Bryan Singer,"Bryan Singer,Patrick Stewart,Hugh Jackman,Halle Berry,Ian McKellen",85,85,MARVEL,8
9,Hulk,2003,"Action, Sci-Fi",138,PG-13,5.6,132180000,Ang Lee,"Ang Lee,Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas",62,29,MARVEL,9
10,The Punisher,2004,"Action, Crime, Drama",124,R,6.4,33680000,Jonathan Hensleigh,"Jonathan Hensleigh,Thomas Jane,John Travolta,Samantha Mathis,Laura Harring",28,63,MARVEL,10
11,Spider-Man 2,2004,"Action, Adventure, Sci-Fi",127,PG-13,7.3,373590000,Sam Raimi,"Sam Raimi,Tobey Maguire,Kirsten Dunst,Alfred Molina,James Franco",93,82,MARVEL,11
12,Blade: Trinity,2004,"Action, Adventure, Fantasy",113,R,5.8,52410000,David S. Goyer,"David S. Goyer,Wesley Snipes,Kris Kristofferson,Parker Posey,Ryan Reynolds",25,58,MARVEL,12
13,Elektra,2005,"Action, Adventure, Crime",97,PG-13,4.7,24410000,Rob Bowman,"Rob Bowman,Jennifer Garner,Goran Visnjic,Will Yun Lee,Kirsten Zien",11,29,MARVEL,13
14,Fantastic Four,2005,"Action, Adventure, Fantasy",106,PG-13,5.7,154700000,Tim Story,"Tim Story,Ioan Gruffudd,Michael Chiklis,Chris Evans,Jessica Alba",27,45,MARVEL,14
15,X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",104,PG-13,6.7,234360000,Brett Ratner,"Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,Famke Janssen",57,61,MARVEL,15
16,Ghost Rider,2007,"Action, Fantasy, Thriller",110,PG-13,5.3,115800000,Mark Steven Johnson,"Mark Steven Johnson,Nicolas Cage,Eva Mendes,Sam Elliott,Matt Long",26,48,MARVEL,16
17,Spider-Man 3,2007,"Action, Adventure, Sci-Fi",139,PG-13,6.2,336530000,Sam Raimi,"Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace,Thomas Haden Church",63,51,MARVEL,17
18,Fantastic Four: Rise of the Silver Surfer,2007,"Action, Adventure, Fantasy",92,PG,5.6,131920000,Tim Story,"Tim Story,Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis",37,51,MARVEL,18
19,Iron Man,2008,"Action, Adventure, Sci-Fi",126,PG-13,7.9,318410000,Jon Favreau,"Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges",94,91,MARVEL,19
20,The Incredible Hulk,2008,"Action, Adventure, Sci-Fi",112,PG-13,6.7,134520000,Louis Leterrier,"Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,William Hurt",67,70,MARVEL,20
